Buurten,Nederlandse herkomst,Jeugd 0-17 jaar,65 jaar en ouder %,eenoudergezinnen,Eenpersoonshuishoudens,Werk & inkomen 2024,Financiële kwetsbaarheid 2024,Zorggebruik en gezondheid 2024,Mentale gezondheid,Sociale binding 2024,Objectieve veiligheid 2024,Subjectieve veiligheid 2024,Overlast_straat,Bedreiging_geweld,Inbraak_woning,Meldingen_jeugd,Aantal woningen per ha,Percentage corporatie woningen,Percentage groen,haalt groenvoorziening binnen 10 minuten,Vervuiling,Ervaring vervuiling
Hanevoet,0.02,0.36,0.71,0.91,-0.77,0.29,-0.40,0.35,-0.32,-0.14,-0.06,-0.10,-0.48,-0.04,-0.11,0.86,22.80,46,42.23,0.33,-0.07,0.78
Heesterakker,1.27,0.60,0.61,-0.61,-1.66,-1.23,-1.19,-0.19,-1.22,-0.46,-0.80,-0.88,-0.69,-0.48,-0.56,-0.64,20.75,0,45.86,0.49,-0.73,-1.37
Hemelrijken,-1.83,-0.69,-0.90,0.00,1.09,0.63,0.94,-0.67,1.13,1.13,1.77,3.06,2.11,1.16,-0.13,1.21,56.54,55,17.79,-2.80,2.29,1.26
Herdgang,,,,,,,,,,,,,,,,,0.04,0,77.6,,,
Het Ven,0.45,-0.05,-0.15,0.61,-0.06,0.10,0.42,-0.26,0.14,0.01,0.50,-0.96,-0.09,0.59,0.24,0.87,20.23,42,33.41,-1.23,0.78,2.68
Hondsheuvels,,,,,,,,,,,,,,,,,2.86,60,62.59,,,
Hurk,,,,,,,,,,,,,,,,,0.08,0,28.41,,,
Irisbuurt,0.02,-0.38,-0.75,-0.91,0.26,-0.87,-0.09,-0.95,-0.03,-0.64,1.10,-0.52,0.92,0.03,1.10,-0.52,25.00,18,26.15,-0.90,0.47,0.68
Jagershoef,-0.43,0.50,0.50,2.44,-0.26,1.29,1.09,1.38,0.86,1.23,0.27,1.05,-0.28,-0.07,0.55,0.75,32.35,63,41.67,-0.74,-0.05,-0.29
Joriskwartier,0.38,-0.71,-0.66,-0.61,0.58,-0.70,-0.20,-0.82,0.07,0.34,-0.68,-0.20,-0.46,0.37,-0.88,-1.12,43.90,15,8.56,0.41,0.37,-0.06
Kapelbeemd,,,,,,,,,,,,,,,,,0.46,0,54.49,,,
Karpen,1.64,0.26,2.05,,-1.60,-1.23,-1.45,-0.36,-2.19,-0.95,2.48,-0.29,0.90,0.44,3.82,-1.12,2.30,0,55.94,-0.49,-0.28,-0.63
Kerkdorp Acht,1.57,0.02,1.27,-1.22,-1.53,-0.90,-1.36,-0.20,-1.69,-1.15,-0.82,-1.36,-0.76,-0.76,-0.43,-0.68,10.86,8,50.1,-0.16,1.03,0.84
Kerstroosplein,-0.25,0.15,-0.67,2.13,0.19,0.64,1.22,-0.09,0.60,0.24,-0.40,-0.39,-0.47,0.13,-0.27,0.06,43.70,51,18.68,0.33,-0.25,0.69
Koudenhoven,1.89,1.03,1.36,,-1.73,-1.12,-1.07,-0.43,-2.08,-0.95,-1.21,-0.29,-0.69,-1.19,-1.20,-0.51,1.26,0,87.69,-0.49,-1.01,-0.63
Kronehoef,-0.36,-0.81,1.12,-0.91,0.64,0.28,0.53,0.67,0.50,0.77,0.67,1.33,0.34,0.26,0.65,-0.52,41.45,43,25.29,-2.88,0.79,-0.05
Kruidenbuurt,0.05,1.22,-0.82,1.52,-0.64,-0.12,0.27,-0.61,0.01,-0.02,-0.03,-0.35,-0.43,0.48,-0.61,0.71,49.72,39,21.5,0.41,-0.50,-0.52
Lakerlopen,-0.62,-0.60,-0.40,-0.30,0.45,0.23,0.56,0.46,0.53,0.78,0.77,0.20,0.82,0.29,-0.08,-0.43,33.45,43,18.5,-1.81,0.21,-0.11
Leenderheide,,,,,,,,,,,,,,,,,0.00,0,43.91,,,
Lievendaal,0.15,0.33,-0.09,1.22,-0.32,0.42,0.64,0.30,0.28,0.57,-0.37,-0.07,-0.43,0.17,-0.52,-0.82,17.88,55,55.46,0.41,0.70,-0.10
Limbeek-Noord,-1.41,-1.48,-1.35,-0.91,1.34,0.13,1.68,-0.33,1.25,1.19,1.83,1.72,1.52,0.52,0.76,-0.36,52.83,50,42.52,-0.41,1.96,0.17
Limbeek-Zuid,-1.03,-0.64,0.16,0.61,0.51,1.28,1.54,0.30,1.12,1.19,0.57,1.72,0.39,-0.59,0.63,1.24,43.34,64,33.23,-0.41,2.08,0.17
